StockName,Date,Open,High,Low,Close,Volume
wipro,2/28/2022 15:30:00,551,560.1,544.1,555.8,9158437
wipro,3/2/2022 15:30:00,555,558.3,550.4,555.2,8177055
wipro,3/3/2022 15:30:00,563,575.95,560.35,569.55,12955663
wipro,3/4/2022 15:30:00,561,580,554.05,575.3,13474186
wipro,3/7/2022 15:30:00,563,579.65,562.25,571.85,10556167
wipro,3/8/2022 15:30:00,572,590.75,572,587.45,11019999
wipro,3/9/2022 15:30:00,588,596.4,582.15,585.5,11763616
wipro,3/10/2022 15:30:00,595,596.5,584.6,588.25,8080983
wipro,3/11/2022 15:30:00,587,590,582.4,586.2,4963594
wipro,3/14/2022 15:30:00,586.4,600.8,586,598.15,7503221
wipro,3/15/2022 15:30:00,603.7,603.7,584.3,587.7,6926622
wipro,3/16/2022 15:30:00,595.25,599.45,592.5,598.25,5575148
wipro,3/17/2022 15:30:00,605,611,599,601.2,8440645
wipro,3/21/2022 15:30:00,605.1,616,598,600,7796476
wipro,3/22/2022 15:30:00,603.4,611,596.15,610.05,7790250
wipro,3/23/2022 15:30:00,613.95,615,607.7,611.2,5696918
wipro,3/24/2022 15:30:00,607,613.8,605.8,610.55,3875745
wipro,3/25/2022 15:30:00,611,614,597.25,603.35,5993097
wipro,3/28/2022 15:30:00,608,609,597.1,600.2,5738405
wipro,3/29/2022 15:30:00,603,605.35,599.15,602.5,4701003
wipro,3/30/2022 15:30:00,605.1,609.3,599.5,600.8,7744382
wipro,3/31/2022 15:30:00,600,603.3,590.2,591.9,7238089
wipro,4/1/2022 15:30:00,591.7,603.4,589.3,601.8,4283997
wipro,4/4/2022 15:30:00,605,606.5,599,605.6,4427974
wipro,4/5/2022 15:30:00,605.45,609.5,598.05,599.15,6431244
wipro,4/6/2022 15:30:00,598,598,591,593.55,4117951
wipro,4/7/2022 15:30:00,592,592,577.5,580.85,7860765
wipro,4/8/2022 15:30:00,586,587,580.5,583.65,4318316
wipro,4/11/2022 15:30:00,584,584.25,568.1,571.1,8582108
wipro,4/12/2022 15:30:00,568,568,556.2,558.7,8169266
wipro,4/13/2022 15:30:00,560,565.5,554.6,559.2,5602288
wipro,4/18/2022 15:30:00,549.85,549.85,536,538.6,9465031
wipro,4/19/2022 15:30:00,544,545.55,526.05,530.45,6643004
wipro,4/20/2022 15:30:00,536,540.55,531.35,536.5,4330488
wipro,4/21/2022 15:30:00,541,542.5,537.35,539.2,6694391
wipro,4/22/2022 15:30:00,535,540.85,530.65,537.7,4891212
wipro,4/25/2022 15:30:00,529.95,531.15,523.3,529.35,4736884
wipro,4/26/2022 15:30:00,537,537.75,527.1,529.25,4359370
wipro,4/27/2022 15:30:00,527,527,514.5,518.95,8137539
wipro,4/28/2022 15:30:00,524,526.65,516,522.55,6620669
wipro,4/29/2022 15:30:00,528.5,528.5,507,508.8,12075630
wipro,5/2/2022 15:30:00,515.5,519,492.6,495,21911427
wipro,5/4/2022 15:30:00,500,503.85,489.25,491.75,8633927
wipro,5/5/2022 15:30:00,501,503.7,496.3,501.15,5434766
wipro,5/6/2022 15:30:00,490,490.9,481,485.1,9220891
wipro,5/9/2022 15:30:00,482,489.35,474.6,483.15,8337625
wipro,5/10/2022 15:30:00,483,483.75,476.15,477.65,7484767
wipro,5/11/2022 15:30:00,480.05,481.95,462.55,471.9,10514671
wipro,5/12/2022 15:30:00,468.1,476,462.15,473.8,7286500
wipro,5/13/2022 15:30:00,479.5,479.5,467,468.65,8387659
wipro,5/16/2022 15:30:00,474,474.35,465,468,3657033
wipro,5/17/2022 15:30:00,471,489,468.3,486.65,5660725
wipro,5/18/2022 15:30:00,490.9,495.25,480.6,481.25,7695484
wipro,5/19/2022 15:30:00,466.15,473.8,450,451.15,11472989
wipro,5/20/2022 15:30:00,462,462.2,455,459.6,6365956
wipro,5/23/2022 15:30:00,463.8,467.8,457.5,466,7055784
wipro,5/24/2022 15:30:00,468.45,469.6,458,459.95,6889730
wipro,5/25/2022 15:30:00,460.15,460.85,443.2,444.85,7740753
wipro,5/26/2022 15:30:00,446,454.7,444,453.35,5791541
wipro,5/27/2022 15:30:00,460,467.95,456.25,466.95,5707236
wipro,5/30/2022 15:30:00,473.15,481.5,473.15,476.25,6145574
wipro,5/31/2022 15:30:00,475.9,480.75,470.4,478.05,15793502
wipro,6/1/2022 15:30:00,478.95,478.95,468.5,470.75,5257283
wipro,6/2/2022 15:30:00,471.8,476.45,468.1,474.15,5267520
wipro,6/3/2022 15:30:00,479.65,488,474.5,475.5,11634889
wipro,6/6/2022 15:30:00,472,475.5,464.2,473.2,6895578
wipro,6/7/2022 15:30:00,470,470.75,465.15,467.65,2350671
wipro,6/8/2022 15:30:00,471.05,472,464.3,470.4,2813826
wipro,6/9/2022 15:30:00,467.05,476.15,464.25,475.05,3701119
wipro,6/10/2022 15:30:00,467.2,467.2,456.3,460.95,8726549
wipro,6/13/2022 15:30:00,450.05,453,445,446.1,7065411
wipro,6/14/2022 15:30:00,440,453.7,438,445.9,6528192
wipro,6/15/2022 15:30:00,448.45,450.65,439.3,440.1,5695798
wipro,6/16/2022 15:30:00,446,446.75,419.75,422.3,8972343
wipro,6/17/2022 15:30:00,416,418.75,402.05,405.2,20775273
wipro,6/20/2022 15:30:00,409,417.9,404.15,414.65,10375419
wipro,6/21/2022 15:30:00,420,426.75,416.65,425.15,6093902
wipro,6/22/2022 15:30:00,422.7,422.7,410.3,411.25,8101431
wipro,6/23/2022 15:30:00,412.5,420.8,411.3,419.05,9827505
wipro,6/24/2022 15:30:00,421,426,415.75,418.75,7681051
wipro,6/27/2022 15:30:00,427,430.75,424,424.9,6223935
wipro,6/28/2022 15:30:00,422,429.1,415.7,427.25,6045914
wipro,6/29/2022 15:30:00,420,424.8,417.4,420.75,8342088
wipro,6/30/2022 15:30:00,421.9,423,415,416.05,6061642
wipro,7/1/2022 15:30:00,415,423.2,411.4,422,4453624
wipro,7/4/2022 15:30:00,420.95,421.75,416,420.3,3186358
wipro,7/5/2022 15:30:00,421.1,423.05,413.05,413.6,5756605
wipro,7/6/2022 15:30:00,418.6,418.6,413.1,416.05,5261455
wipro,7/7/2022 15:30:00,420,423.95,417.2,420.8,5353012
wipro,7/8/2022 15:30:00,424,424.7,416.55,419.1,4767716
wipro,7/11/2022 15:30:00,414.75,415,405.55,411.2,8344787
wipro,7/12/2022 15:30:00,409,414.85,408,409.15,4888736
wipro,7/13/2022 15:30:00,412,412,405.35,406.7,5978390
wipro,7/14/2022 15:30:00,410.6,410.6,400.5,401.45,6580621
wipro,7/15/2022 15:30:00,400.95,404.1,391,393.85,11164177
wipro,7/18/2022 15:30:00,399,405.7,396.65,404.75,6816197
wipro,7/19/2022 15:30:00,403,407.8,401.2,405.65,6448589
wipro,7/20/2022 15:30:00,410.8,417.5,407.1,412.1,12618706
wipro,7/21/2022 15:30:00,408.85,417.5,402.6,414,22691171
wipro,7/22/2022 15:30:00,415.75,417.4,409.05,410.85,7734271
wipro,7/25/2022 15:30:00,410.5,415.65,408.55,414.8,6267831
wipro,7/26/2022 15:30:00,414.8,415.4,404.3,405.2,7593149
wipro,7/27/2022 15:30:00,404.95,407.4,401.95,406.65,7042079
wipro,7/28/2022 15:30:00,411.8,417,410.9,416,7949232
wipro,7/29/2022 15:30:00,420.6,424.3,417.8,423.7,7959892
wipro,8/1/2022 15:30:00,426.2,430.9,422.6,429,5182874
wipro,8/2/2022 15:30:00,428.95,431.65,424.65,429.6,8456213
wipro,8/3/2022 15:30:00,429,433,427.5,432.35,6017469
wipro,8/4/2022 15:30:00,437.05,440.3,427.1,435.5,8894567
wipro,8/5/2022 15:30:00,436.15,442,436.15,440,6483793
wipro,8/8/2022 15:30:00,442.8,442.8,435.2,435.85,4778748
wipro,8/10/2022 15:30:00,435,436,426.3,430.15,5664871
wipro,8/11/2022 15:30:00,438,442,436.3,438.45,4577322
wipro,8/12/2022 15:30:00,437.1,438.5,435,436.1,3546199
wipro,8/16/2022 15:30:00,438.5,439.8,436.6,437.1,2387104
wipro,8/17/2022 15:30:00,437.25,444.9,436.65,443.05,5200738
wipro,8/18/2022 15:30:00,441.75,441.75,434.05,435.05,8444130
wipro,8/19/2022 15:30:00,438.95,442.5,431,432.45,8626954
wipro,8/22/2022 15:30:00,430.9,430.9,419.05,420,6450290
wipro,8/23/2022 15:30:00,415,418.5,410,416.65,8514388
wipro,8/24/2022 15:30:00,417.8,419.5,414.35,416.15,3714585
wipro,8/25/2022 15:30:00,419.3,420.1,414.95,415.2,4376951
wipro,8/26/2022 15:30:00,418.5,422.5,416.3,417.25,3952097
wipro,8/29/2022 15:30:00,405,406.35,399,404.35,11759757
wipro,8/30/2022 15:30:00,409.15,415.95,406.25,413.55,9875496
wipro,9/1/2022 15:30:00,409.9,411.65,404.85,410.45,5889353
wipro,9/2/2022 15:30:00,412.55,412.75,407.1,407.7,4907540
wipro,9/5/2022 15:30:00,407,408,404,405.5,9009254
wipro,9/6/2022 15:30:00,407,407.35,401.25,404.45,9113081
wipro,9/7/2022 15:30:00,402.1,408.85,401,407.45,6124266
wipro,9/8/2022 15:30:00,410,414.35,409.6,412.8,7032474
wipro,9/9/2022 15:30:00,417,419.45,411.35,417.15,7335671
wipro,9/12/2022 15:30:00,419.85,424.4,418.05,422,5839212
wipro,9/13/2022 15:30:00,424.9,426,421.5,422.65,4704167
wipro,9/14/2022 15:30:00,409,422.7,409,416.3,8791982
wipro,9/15/2022 15:30:00,419.7,420.9,413.25,415.05,5320157
wipro,9/16/2022 15:30:00,412.75,412.75,400.2,401.65,10096243
wipro,9/19/2022 15:30:00,405,406.2,397,401.95,6792094
wipro,9/20/2022 15:30:00,406,409.4,404.45,404.9,4494911
wipro,9/21/2022 15:30:00,405.9,405.9,399.5,400.75,9645056
wipro,9/22/2022 15:30:00,398,400.35,395,397.95,8250162
wipro,9/23/2022 15:30:00,398.1,399.4,393.65,394.35,6983355
wipro,9/26/2022 15:30:00,392,399.2,384.6,394.8,9497072
wipro,9/27/2022 15:30:00,396.8,401.4,392,398.4,6227347
wipro,9/28/2022 15:30:00,396,400.5,395.35,398.05,4460795
wipro,9/29/2022 15:30:00,401,401.9,391.55,392.8,5941534
wipro,9/30/2022 15:30:00,392.45,396.7,387.5,394.25,6785265
wipro,10/3/2022 15:30:00,393.9,398,390.6,394.5,4070417
wipro,10/4/2022 15:30:00,399.95,406,399,405.5,6295848
wipro,10/6/2022 15:30:00,409.35,413,407.45,410.15,5601939
wipro,10/7/2022 15:30:00,409.8,411.75,406.25,408.1,3790093
wipro,10/10/2022 15:30:00,400.3,413.5,399.75,411.3,9357463
wipro,10/11/2022 15:30:00,414.9,417.9,402.3,404.4,11361646
wipro,10/12/2022 15:30:00,404.25,409.6,401.6,407.95,6305059
wipro,10/13/2022 15:30:00,387,392.35,378.1,379.1,42448106
wipro,10/14/2022 15:30:00,387,387.5,376.25,377.3,13932397
wipro,10/17/2022 15:30:00,377.3,378.95,372.4,375.1,8454769
wipro,10/18/2022 15:30:00,383.7,384.25,378.4,379.3,11164240
wipro,10/19/2022 15:30:00,381.2,381.2,377.05,378.05,5099139
wipro,10/20/2022 15:30:00,377,382.6,376,381.5,5934407
wipro,10/21/2022 15:30:00,382.5,383.3,380.2,382.55,4465770
wipro,10/25/2022 15:30:00,386.45,386.45,383.65,384.65,2891628
wipro,10/27/2022 15:30:00,386,386.95,381.1,382.65,5861559
wipro,10/28/2022 15:30:00,382.8,385.85,382,383.25,3804838
wipro,10/31/2022 15:30:00,386.55,388.4,384.75,386.55,3319191
wipro,11/1/2022 15:30:00,388,393,386.6,392.4,5770098
wipro,11/2/2022 15:30:00,392.85,394.85,390.65,393.95,3358307
wipro,11/3/2022 15:30:00,389.75,393.75,385.55,388.5,5156238
wipro,11/4/2022 15:30:00,388.5,392.4,385.65,390.55,4511815
wipro,11/7/2022 15:30:00,393,394.85,387.6,391.5,4126299
wipro,11/9/2022 15:30:00,394.05,394.4,389.15,390.95,3431273
wipro,11/10/2022 15:30:00,388.8,391.1,387,388.9,2747454
wipro,11/11/2022 15:30:00,398.5,405.85,397.25,399.7,14208523
wipro,11/14/2022 15:30:00,402.65,402.65,395.55,396.55,8811714
wipro,11/15/2022 15:30:00,398.05,399.55,394,397.15,6231356
wipro,11/16/2022 15:30:00,399,401.7,396.2,398.25,5519764
wipro,11/17/2022 15:30:00,397.9,398,395,396.75,3028808
wipro,11/18/2022 15:30:00,397.85,398.9,392.8,393.85,4773101
wipro,11/21/2022 15:30:00,393.85,394.45,387.6,388.65,3952306
wipro,11/22/2022 15:30:00,389,389.4,384.5,388.8,4205414
wipro,11/23/2022 15:30:00,390.75,391.95,388,388.75,3358880
wipro,11/24/2022 15:30:00,389.9,399.75,389.15,398.25,6685133
wipro,11/25/2022 15:30:00,399,404.4,395.9,402.8,6824275
wipro,11/28/2022 15:30:00,402.8,409.45,402,405.65,6839600
wipro,11/29/2022 15:30:00,403,408.9,402.9,405.15,4551301
wipro,11/30/2022 15:30:00,406.9,408,402.65,406.9,6946173
wipro,12/1/2022 15:30:00,412.85,416.35,411.65,413.7,7926492
wipro,12/2/2022 15:30:00,413.8,413.9,409.05,412.4,5863311
wipro,12/5/2022 15:30:00,413.25,414.95,410.65,412.35,4973531
wipro,12/6/2022 15:30:00,410.5,412.6,407.8,411.35,4416259
wipro,12/7/2022 15:30:00,409,409.5,405.3,406.3,3284308
wipro,12/8/2022 15:30:00,407.25,408,403.3,403.7,4470356
wipro,12/9/2022 15:30:00,406,406,391.25,394.05,7711668
wipro,12/12/2022 15:30:00,392.9,397.5,388,396.35,5182940
wipro,12/13/2022 15:30:00,398.35,399.35,396,397.75,3406921
wipro,12/14/2022 15:30:00,400.8,404.5,399.25,400.05,4997576
wipro,12/15/2022 15:30:00,399.75,399.75,394.05,395.2,3883463
wipro,12/16/2022 15:30:00,391.4,394.8,388.05,389.75,9006317
wipro,12/19/2022 15:30:00,388.45,390.5,385.7,389.05,4419023
wipro,12/20/2022 15:30:00,388.8,389.9,383,388.95,4389279
wipro,12/21/2022 15:30:00,390.9,393.25,387.85,389.5,5107607
wipro,12/22/2022 15:30:00,390.1,391.95,386,388.75,4546900
wipro,12/23/2022 15:30:00,384,385.85,377,377.65,6060355
wipro,12/26/2022 15:30:00,378,381.6,376.3,380.5,3630574
wipro,12/27/2022 15:30:00,382.5,387.35,380.25,386.6,3842920
wipro,12/28/2022 15:30:00,385,389.55,383.25,387.8,3838001
wipro,12/29/2022 15:30:00,386.25,392.1,384.8,390.75,4742699
wipro,12/30/2022 15:30:00,393,396.3,391.55,392.75,4128278
wipro,1/2/2023 15:30:00,393,393.9,390.5,393.05,2779756
wipro,1/3/2023 15:30:00,393.05,397.75,391.7,397.05,2997211
wipro,1/4/2023 15:30:00,397.5,397.5,388.6,389.7,4463261
wipro,1/5/2023 15:30:00,390,392.2,383.75,386.9,4784490
wipro,1/6/2023 15:30:00,387,388.8,381.4,382,4242377
wipro,1/9/2023 15:30:00,386,393,385.1,391.8,3673716
wipro,1/10/2023 15:30:00,392,393.9,387.35,393.05,3939748
wipro,1/11/2023 15:30:00,393,396,391.5,393.85,3828300
wipro,1/12/2023 15:30:00,395.75,397.9,390.5,394.5,4755250
wipro,1/13/2023 15:30:00,396,396.6,386.5,393.9,6810930
wipro,1/16/2023 15:30:00,390,401,389,398.6,11933722
wipro,1/17/2023 15:30:00,400.05,402.05,393.75,396.35,7155016
wipro,1/18/2023 15:30:00,398.5,403.85,398,403.2,8040213
wipro,1/19/2023 15:30:00,402.1,404,398.75,403.4,4723728
wipro,1/20/2023 15:30:00,403.55,405.4,401.3,403.15,4632807
wipro,1/23/2023 15:30:00,405.2,407.75,402.5,407,4407645
wipro,1/24/2023 15:30:00,408.4,410.2,405.15,406.6,4776320
wipro,1/25/2023 15:30:00,405,405.9,400,401.55,3177777
wipro,1/27/2023 15:30:00,401.55,403.6,394.2,398.05,3705067
wipro,1/30/2023 15:30:00,398.05,404.8,395.05,402.25,3630628
wipro,1/31/2023 15:30:00,402.3,402.55,397.7,398.85,4783423
wipro,2/1/2023 15:30:00,401.5,403.9,398.35,402.4,3514948
wipro,2/2/2023 15:30:00,402.4,410,402.4,409.45,5417730
wipro,2/3/2023 15:30:00,412.55,413,406.15,407.9,4425118
wipro,2/6/2023 15:30:00,405.4,406.2,401.6,404.65,2979011
wipro,2/7/2023 15:30:00,405.5,405.5,399.05,400.5,3341790
wipro,2/8/2023 15:30:00,401,407.6,401,406.75,4150488
wipro,2/9/2023 15:30:00,406.75,408.95,403.55,408.3,2638687
wipro,2/10/2023 15:30:00,407,407,402.8,405.8,2580070
wipro,2/13/2023 15:30:00,405.65,405.65,399.2,400.6,2412678
wipro,2/14/2023 15:30:00,403,406.45,401.5,405.1,2319411
wipro,2/15/2023 15:30:00,402.7,407.85,400.35,407.4,2613836
wipro,2/16/2023 15:30:00,408.8,413.25,408.55,409.9,5594681
wipro,2/17/2023 15:30:00,406.85,408,404,406.3,2808122
wipro,2/20/2023 15:30:00,405.3,407.8,402.2,407.05,3248594
wipro,2/21/2023 15:30:00,407.4,408,402.1,402.75,2880586
wipro,2/22/2023 15:30:00,399.5,400.35,394.45,395.15,3441686
wipro,2/23/2023 15:30:00,395.8,398.7,393.4,393.95,3039161
wipro,2/24/2023 15:30:00,395.95,396.5,392.55,393.3,2553317